Product,Shade,Product + Shade,SKU
JASMIN PALETTE,,JASMIN PALETTE ,CAI034
VANESSAS KIT,,VANESSAS KIT ,CAI037
BERRY KISS,,BERRY KISS ,CAI096
THAT EXTRA GLOW,,THAT EXTRA GLOW ,CAI099
STAY ALL NIGHT,,STAY ALL NIGHT ,CAI1008
LOOK INTO MY EYES,,LOOK INTO MY EYES ,CAI1009
GIFT CARD,,GIFT CARD ,CAI1012
UNDER THE TREE,,UNDER THE TREE ,CAI1013
ALL I WANT FOR XMAS,,ALL I WANT FOR XMAS ,CAI1014
SANTA'S FAVES,,SANTA'S FAVES ,CAI1015
GIFT CARD,,GIFT CARD ,CAI1018
BLUSHED LOOK,,BLUSHED LOOK ,CAI1022
GLOW UP,,GLOW UP ,CAI1023
BB-KIT,,BB-KIT ,CAI1032
EVERYDAY COLLECTION,,EVERYDAY COLLECTION ,CAI1036
LET'S GLOW ABOUT IT,,LET'S GLOW ABOUT IT ,CAI1053
IN THE TROPICS,,IN THE TROPICS ,CAI1061
AFTER BEACH KIT,,AFTER BEACH KIT ,CAI1062
BUONALIMA KIT,,BUONALIMA KIT ,CAI1071
ULTIMATE BRUSH KIT - EYES,,ULTIMATE BRUSH KIT - EYES ,CAI108
PERFECT ANGLED COMBO,,PERFECT ANGLED COMBO ,CAI1099
GOLD DIGGER,,GOLD DIGGER ,CAI1106
IT GIRL KIT,,IT GIRL KIT ,CAI1109
ALL ABOUT BALANCE,,ALL ABOUT BALANCE ,CAI1112
MY DARLING,,MY DARLING ,CAI112
SUMMER OF ’23,,SUMMER OF ’23 ,CAI1145
SUN’S OUT,,SUN’S OUT ,CAI1148
DEWY KIT,,DEWY KIT ,CAI1180
Eyelash Curler - Pocket Mirror,,Eyelash Curler - Pocket Mirror ,CAI1250
CAIA GLOW KIT,,CAIA GLOW KIT ,CAI1255
SOFT BLEND,,SOFT BLEND ,CAI1262
BRONZING BALM SET,,BRONZING BALM SET ,CAI1263
BLUSH BALM SET,,BLUSH BALM SET ,CAI1264
CREAMY BASE,,CREAMY BASE ,CAI1265
ADORABLE LIPS,,ADORABLE LIPS ,CAI1266
SUNKISSED GLOW,,SUNKISSED GLOW ,CAI1268
HOT GLOW,,HOT GLOW ,CAI1269
BRONZED &amp; BALMY,,BRONZED &amp; BALMY ,CAI1270
WAKE ME UP KIT,,WAKE ME UP KIT ,CAI1274
REDWOOD,,REDWOOD ,CAI132
EDGY,,EDGY ,CAI136
SENTEUR de CAIA,,SENTEUR de CAIA ,CAI146
METALLICS PALETTE,,METALLICS PALETTE ,CAI147
LUV PUPPIE,,LUV PUPPIE ,CAI157
GIGGLES,,GIGGLES ,CAI159
ULTIMATE BRUSH KIT - FACE,,ULTIMATE BRUSH KIT - FACE ,CAI161
STUNNING LIP KIT,,STUNNING LIP KIT ,CAI171
PRIME SET GO!,,PRIME SET GO! ,CAI181
GLOWING BASE KIT,,GLOWING BASE KIT ,CAI195
THE PERFECT PRIME - OILY SKIN,,THE PERFECT PRIME - OILY SKIN ,CAI205
PEARL SWIRL,,PEARL SWIRL ,CAI214
BRONZED BEACH,,BRONZED BEACH ,CAI215
SUNKISSED DEWY STICK,FAIR,SUNKISSED DEWY STICK FAIR,CAI2537
SUNKISSED DEWY STICK,TAN,SUNKISSED DEWY STICK TAN,CAI2544
LIQUID BRONZER,MAUI,LIQUID BRONZER MAUI,CAI260
LIQUID BRONZER,CAPE TOWN,LIQUID BRONZER CAPE TOWN,CAI261
LIQUID BRONZER,BELIZE,LIQUID BRONZER BELIZE,CAI264
GLOW BRONZER,HOT TOAST,GLOW BRONZER HOT TOAST,CAI2780
RED CARPET PRIME ,LIGHT TO MEDIUM,RED CARPET PRIME  LIGHT TO MEDIUM,CAI287
RED CARPET PRIME,MEDIUM TO DEEP,RED CARPET PRIME MEDIUM TO DEEP,CAI288
INSPIRATION,,INSPIRATION ,CAI310
FULL BROW GEL CLEAR,,FULL BROW GEL CLEAR ,CAI311
SINGLE EYE SHADOW,CHÉRIE,SINGLE EYE SHADOW CHÉRIE,CAI322
MICRO BROW PENCIL,TAUPE,MICRO BROW PENCIL TAUPE,CAI335
MICRO BROW PENCIL,EBONY,MICRO BROW PENCIL EBONY,CAI337
LIP PENCIL,YOSEMITE,LIP PENCIL YOSEMITE,CAI414
HYDRATING LIP BALM,,HYDRATING LIP BALM ,CAI415
GOLDEN GLOSS,,GOLDEN GLOSS ,CAI428
ADORABLE GLOSS,,ADORABLE GLOSS ,CAI469
ADORABLE LIP LINER,,ADORABLE LIP LINER ,CAI470
GOLDEN GLOSS,,GOLDEN GLOSS ,CAI483
SMOOTH &amp; STYLE HAIR BRUSH,,SMOOTH &amp; STYLE HAIR BRUSH ,CAI554
FITS ALL PINK BAG,,FITS ALL PINK BAG ,CAI601
PENNVÄSSARE,,PENNVÄSSARE ,CAI603
"PINCETT, VINKLAD",,"PINCETT, VINKLAD ",CAI604
EYESHADOW KIT,,EYESHADOW KIT ,CAI606
GLOW PATROL,,GLOW PATROL ,CAI6108
MAKEUPBIBELEN,,MAKEUPBIBELEN ,CAI612
ASTRID BAG,,ASTRID BAG ,CAI6122
SMALL BEAUTY CASE,,SMALL BEAUTY CASE ,CAI6153
SILVER HAIR CLIPS,,SILVER HAIR CLIPS ,CAI6160
WATERPROOF KIT,,WATERPROOF KIT ,CAI618
FITS ALL MINI BROWN,,FITS ALL MINI BROWN ,CAI6181
BEAUTY CASE,,BEAUTY CASE ,CAI6198
LA NUIT PERFUME,,LA NUIT PERFUME ,CAI620
LA NUIT BODY,,LA NUIT BODY ,CAI621
BRUSH KIT - MEDIUM,,BRUSH KIT - MEDIUM ,CAI628
BRUSH KIT - LARGE,,BRUSH KIT - LARGE ,CAI629
GIFT CARD FLAGSHIP,,GIFT CARD FLAGSHIP ,CAI6327
GLOSSY LIPS,,GLOSSY LIPS ,CAI635
EASTER EGG KORT,,EASTER EGG KORT ,CAI6392
PINK LOVE KIT,,PINK LOVE KIT ,CAI640
LIQUID LIP KIT,,LIQUID LIP KIT ,CAI643
LOVISAS LIP KIT,,LOVISAS LIP KIT ,CAI645
LOVISAS EYE KIT,,LOVISAS EYE KIT ,CAI646
BIANCAS LIP KIT,,BIANCAS LIP KIT ,CAI647
BIANCAS EYE KIT,,BIANCAS EYE KIT ,CAI648
CAIA CHRISTMAS CALENDAR,,CAIA CHRISTMAS CALENDAR ,CAI654
CAIA CHRISTMAS CALENDAR - ANDRAHANDSSORT.,,CAIA CHRISTMAS CALENDAR - ANDRAHANDSSORT. ,CAI654X
CAIA CHRISTMAS CALENDAR,,CAIA CHRISTMAS CALENDAR ,CAI654XX
PINK SMALL ORGANIZER,,PINK SMALL ORGANIZER ,CAI659
WHITE SMALL ORGANIZER,,WHITE SMALL ORGANIZER ,CAI660
CAIA TOTE BAG,,CAIA TOTE BAG ,CAI665
BEST SELLER KIT,,BEST SELLER KIT ,CAI668
BIANCAS KIT,,BIANCAS KIT ,CAI679
TROPICAL BEACH BAG,,TROPICAL BEACH BAG ,CAI696
SPECIAL KIT,,SPECIAL KIT ,CAI704
HAIR CLIPS,,HAIR CLIPS ,CAI710
LA NUIT SAMPLE,,LA NUIT SAMPLE ,CAI714
SENSO SAMPLE,,SENSO SAMPLE ,CAI715
AMICI SAMPLE,,AMICI SAMPLE ,CAI716
LE CIEL SAMPLE,,LE CIEL SAMPLE ,CAI717
LE SOIR Sample 2ml,,LE SOIR Sample 2ml ,CAI755
LE CIEL Sample 2ml,,LE CIEL Sample 2ml ,CAI758
HYDRA BOOST DAY CREAM,,HYDRA BOOST DAY CREAM ,CAI808
THE SLEEPING BEAUTY NIGHT CREAM,,THE SLEEPING BEAUTY NIGHT CREAM ,CAI815
LA NUIT BODY SCRUB,,LA NUIT BODY SCRUB ,CAI832
RADIANCE TAN SELF TAN MIST,,RADIANCE TAN SELF TAN MIST ,CAI840
RED CARPET FACE MASK,,RED CARPET FACE MASK ,CAI855
THAT DEWY LOOK SERUM,,THAT DEWY LOOK SERUM ,CAI880
SILKY SENSATION LE SOIR LUMIÈRE,,SILKY SENSATION LE SOIR LUMIÈRE ,CAI888
E-Presentkort,,E-Presentkort ,PRESENTKORT
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,
,, ,